N Pedido;Nmero de parte;Fecha de pedido;Proveedor;Nombre del proveedor;Cant. del Pedido;Cantidad recibida;presupuesto pedido;presupuesto pendiente ;Estado Pedido;Descripcion del articulo
17842;2255801574;31-01-2023;78233420-4;Hospitalia Productos Medicos Ltda.;1200;1200;$928.200;$0;Completado;BAJADA INFUSION DE SANGRE Y HEMODERIVADOS
17843;2259963963;31-01-2023;77478120-K;FRESENIUS KABI CHILE LIMITADA;960;960;$9.938.880;$0;Completado;BOLSA SANGRE CUADRUPLE 300 500 ML
17844;2259963964;31-01-2023;77478120-K;FRESENIUS KABI CHILE LIMITADA;24;24;$3.284.400;$0;Completado;SUMINISTRO PARA REALIZACION DE AFERESIS
17845;2250000811;31-01-2023;91575000-1;SOCOFAR S.A.;200;200;$2.344.062;$0;Completado;TEJIDO SIN TEJER AUTOADH.10CMX10M
17846;2410000791;01-02-2023;92288000-K;Drogueria Hofmann Ltda y Cia en CPA;16300;16300;$1.842.715;$0;Completado;TUBO POLIPROP. 3.5 ML T L
17847;2410000790;01-02-2023;92288000-K;Drogueria Hofmann Ltda y Cia en CPA;13500;13500;$1.847.475;$0;Completado;TUBO POLIPROP. 3.5 ML T C C CITRATO SODIO
17848;129213113;01-02-2023;76139769-9;FRANCO;40;40;$1.165.772;$0;Completado;APOYA PIES P DIGITADOR
17848;56010314;01-02-2023;76139769-9;FRANCO;300;300;$1.263.780;$0;Completado;PAD MOUSE ERGONOMETRICA
17848;120489126;01-02-2023;76139769-9;FRANCO;300;300;$2.161.635;$0;Completado;APOYA MUi ECA ERGONOMETRICA
17849;29666909;01-02-2023;96625950-7;TECNIKA S.A.;180;180;$2.848.860;$0;Completado;PACK ROPA UNIVERSAL ESTERIL  DESECHABLE 
17850;3479696132;01-02-2023;96625550-1;Andover Alianza Medica S.A.;40;40;$148.512;$0;Completado;CIRCUITO DESECHABLE VENT TRILOGY 100 EVO
17851;3473470145;01-02-2023;86383300-0;MEDIPLEX S.A.;30;30;$1.295.910;$0;Completado;CIRCUITO BASE HUMIDIFICADORA RT380 V60  MR850 
17852;2419919012;01-02-2023;89752800-2;Distrib Art Med. Per;15000;0;$624.750;$624.750;Completado;TORULAS MADERA ESTERILES  ALGODON 
17853;2259214105;01-02-2023;78233420-4;Hospitalia Productos Medicos Ltda.;150000;150000;$7.854.000;$0;Completado;GUANTE NITRILO L P PROCED.
17854;2259214115;01-02-2023;78233420-4;Hospitalia Productos Medicos Ltda.;300000;300000;$15.708.000;$0;Completado;GUANTE NITRILO M P PROCED.
17855;2259963960;01-02-2023;78233420-4;Hospitalia Productos Medicos Ltda.;140000;101000;$7.330.400;$2.042.040;Abierto;GUANTE NITRILO S P PROCED.
17856;3450000526;01-02-2023;76019375-5;SOCIEDAD COMERCIALIZADORA OPTEC CHILE LI;7;7;$1.750.000;$0;Completado;ORTESIS DE COLUMNA  CORSET ORTOPEDICO 
17857;3479696172;01-02-2023;86383300-0;MEDIPLEX S.A.;45;45;$1.713.600;$0;Completado;CANULA NASAL ALTO FLUJO AIRVO2 OPTIFLOW MED
17858;2251574125;01-02-2023;78233420-4;Hospitalia Productos Medicos Ltda.;5000;5000;$28.560.000;$0;Completado;TELFA CLEAR 10 X 12.5 CM
17859;2192190050;01-02-2023;76595497-5;VISALMED VIDA Y SALUD LIMITADA;50;50;$3.451.000;$0;Completado;BOLSA DE DRENAJE ASPIRATIVA DE 500 ML
17860;3479569030;01-02-2023;78060400-K;EXXIMMED 2000 SPA;300;300;$2.457.945;$0;Completado;CIRCUITO ANEST. AD.1.80MT.COMPLETO L L C M
17861;2170000009;01-02-2023;78233420-4;Hospitalia Productos Medicos Ltda.;150000;150000;$2.677.500;$0;Completado;ALCOHOL ISOPROPILICO 70  SACHET TOALLITA SATURADA
17862;20000183;02-02-2023;76661781-6;LILIANA GONZALEZ SILVA E.I.R.L.;2;2;$16.660;$0;Completado;VELCRO LOOP 5 CM DE ANCHO
17863;90000619;02-02-2023;79744580-0;Blunding S.A.;34000;34000;$6.271.300;$0;Completado;PECHERA CON MANGA DESECHABLE
17864;120489491;02-02-2023;76661781-6;LILIANA GONZALEZ SILVA E.I.R.L.;1;1;$73.185;$0;Completado;PLANCHA DE TERMOPLASTICO LISO 2 4 MM
17865;3474261000;02-02-2023;76131542-0;MEDCORP S.A.;8;8;$1.721.216;$0;Completado;CANISTER SELLADO 1000 CC Y CONECCION TUBO
17866;120489493;02-02-2023;76661781-6;LILIANA GONZALEZ SILVA E.I.R.L.;1;1;$35.462;$0;Completado;PLANCHA DE TERMOPLASTICO LISO 1 6 MM
17867;3474261500;02-02-2023;76131542-0;MEDCORP S.A.;13;13;$1.748.110;$0;Completado;CANISTER SELLADO 500 CC Y CONECCION TUBO
17868;2220000543;02-02-2023;92288000-K;Drogueria Hofmann Ltda y Cia en CPA;2200;2200;$1.282.820;$0;Completado;MASCARILLA MULTIVENT AD.
17869;120489492;02-02-2023;76661781-6;LILIANA GONZALEZ SILVA E.I.R.L.;3;3;$230.265;$0;Completado;PLANCHA DE TERMOPLASTICO PERFORADO 3 2 MM
17870;120489496;02-02-2023;76661781-6;LILIANA GONZALEZ SILVA E.I.R.L.;2;2;$153.510;$0;Completado;PLANCHA TERMOPLASTICO LISO 3 2 MM
17871;20000181;02-02-2023;77010745-8;IMP. Y COMERCIALIZADORA LEFIX IMPLANTES ;10;10;$44.923;$0;Completado;VENDA COBAN  KINESIOLOGIA INTENSIVA 
17872;20000929;02-02-2023;77010745-8;IMP. Y COMERCIALIZADORA LEFIX IMPLANTES ;1;1;$4.433;$0;Completado;HILO BLANCO DE 500 YARDAS
17873;80000041;02-02-2023;77010745-8;IMP. Y COMERCIALIZADORA LEFIX IMPLANTES ;3;3;$38.970;$0;Completado;PAPEL ALUSA FILM  30 CMS X 300 MT
17874;120489495;02-02-2023;77010745-8;IMP. Y COMERCIALIZADORA LEFIX IMPLANTES ;2;2;$95.176;$0;Completado;ROLLO NEOPRENO 3 MT
17875;20000193;02-02-2023;76661781-6;LILIANA GONZALEZ SILVA E.I.R.L.;3;3;$17.850;$0;Completado;HUINCHA MOCHILA 2 5CMX1MT
17876;20000188;02-02-2023;77010745-8;IMP. Y COMERCIALIZADORA LEFIX IMPLANTES ;3;3;$2.460;$0;Completado;ELASTICO TELA 5 CM X 1 MT
17877;20000192;02-02-2023;77010745-8;IMP. Y COMERCIALIZADORA LEFIX IMPLANTES ;24;24;$3.484;$0;Completado;HEBILLA PESCADOR CORREDERA METALICA
17878;120000626;02-02-2023;77010745-8;IMP. Y COMERCIALIZADORA LEFIX IMPLANTES ;1;1;$21.990;$0;Completado;AGOREX 3.80
17879;72706264;02-02-2023;77478120-K;FRESENIUS KABI CHILE LIMITADA;585;585;$4.316.130;$0;Completado;FRESUBIN 2 KCAL X 500 CC X 15
17880;72706254;02-02-2023;77478120-K;FRESENIUS KABI CHILE LIMITADA;600;600;$928.200;$0;Completado; DIBEN DRINK EX GLUCERNA TRIPLECARE LIQUIDO 237 CC
17881;84931541;02-02-2023;77478120-K;FRESENIUS KABI CHILE LIMITADA;480;480;$1.542.240;$0;Completado;BAJADAS AMIKA C  PUNZON FRESENIUS COMODATO BOMBA I
17882;70000031;02-02-2023;77478120-K;FRESENIUS KABI CHILE LIMITADA;300;300;$1.785.000;$0;Completado;FRESUBIN POWDER FIBRE 500 GRS EX ENSURE VAINILLA 8
17883;70000029;02-02-2023;77478120-K;FRESENIUS KABI CHILE LIMITADA;80;80;$352.240;$0;Completado;FRESUBIN ORIGINAL 1000ML
17884;72706249;02-02-2023;77478120-K;FRESENIUS KABI CHILE LIMITADA;150;150;$392.700;$0;Completado;FRESUBIN ORIGINAL 500 ML
17885;120120250;02-02-2023;77478120-K;FRESENIUS KABI CHILE LIMITADA;675;675;$1.847.475;$0;Completado;CONECTOR PARA BAJADA  FREKA   NUTRICION ENTERAL 
17886;50000064;02-02-2023;76030456-5;COM. GRAFICA VERGARA MORENO Y CIA LTDA;20000;20000;$5.355.000;$0;Completado;TARJETA CARPETA EVALUACION ANESTESIA
17887;2162160010;02-02-2023;77337544-5;SCM PHARMA SPA;30;30;$1.562.018;$0;Completado;VISIPAQUE 320MG 100ML IODIXANOL SOLUCION INYECTABL
17888;3473470018;02-02-2023;59106780-K;GLOBAL HEALTHCARE CHILE L.P.;200;200;$952.000;$0;Completado;CIRCUITO BIRRAMA DE VENTILACION MECANICA
17889;2419919012;02-02-2023;89752800-2;Distrib Art Med. Per;15000;15000;$624.750;$0;Completado;TORULAS MADERA ESTERILES  ALGODON 
17890;3450166629;02-02-2023;61608602-2;HOSPITAL DE URGENCIA ASISTENCIA PUBLICA;2;2;$297.500;$0;Completado;O.Q.GUANTE MANGA BAJO CODO TIRAS INTERDIGITALES
17890;3450166458;02-02-2023;61608602-2;HOSPITAL DE URGENCIA ASISTENCIA PUBLICA;1;1;$29.750;$0;Completado;O.Q.COLLAR ACOLCHADO
17890;3403400080;02-02-2023;61608602-2;HOSPITAL DE URGENCIA ASISTENCIA PUBLICA;4;4;$761.600;$0;Completado;O.Q.CAMISETA MANGA LARGA
17890;3459902838;02-02-2023;61608602-2;HOSPITAL DE URGENCIA ASISTENCIA PUBLICA;2;2;$238.000;$0;Completado;O.Q SOSTEN C  MANGA LARGA
17890;3450166457;02-02-2023;61608602-2;HOSPITAL DE URGENCIA ASISTENCIA PUBLICA;2;2;$166.600;$0;Completado;O.Q. CALCETA
17890;3459902820;02-02-2023;61608602-2;HOSPITAL DE URGENCIA ASISTENCIA PUBLICA;4;4;$547.400;$0;Completado;O.Q.PETO C MANGA LARGA
17890;3459902733;02-02-2023;61608602-2;HOSPITAL DE URGENCIA ASISTENCIA PUBLICA;1;1;$59.500;$0;Completado;O.Q.ARNES
17890;3450166321;02-02-2023;61608602-2;HOSPITAL DE URGENCIA ASISTENCIA PUBLICA;2;2;$142.800;$0;Completado;O.Q.MENTONERA SIN OREJAS
17890;3459993706;02-02-2023;61608602-2;HOSPITAL DE URGENCIA ASISTENCIA PUBLICA;2;2;$119.000;$0;Completado;O.Q.PETO C MANGA CORTA
17890;3459993902;02-02-2023;61608602-2;HOSPITAL DE URGENCIA ASISTENCIA PUBLICA;1;1;$35.700;$0;Completado;O.Q.INSERTO MIXTO GRANDE
17890;3450166624;02-02-2023;61608602-2;HOSPITAL DE URGENCIA ASISTENCIA PUBLICA;4;4;$499.800;$0;Completado;O.Q. GUANTE MANO COMPLETA
17890;3459900024;02-02-2023;61608602-2;HOSPITAL DE URGENCIA ASISTENCIA PUBLICA;2;2;$23.800;$0;Completado;O.Q.CUELLO MAO
17890;3453451373;02-02-2023;61608602-2;HOSPITAL DE URGENCIA ASISTENCIA PUBLICA;2;2;$83.300;$0;Completado;O.Q. CINTILLO PARA COMPRESION AURICULAR
17890;3459900023;02-02-2023;61608602-2;HOSPITAL DE URGENCIA ASISTENCIA PUBLICA;4;4;$666.400;$0;Completado;O.Q.CAMISETA MANGA CORTA
17890;3459900033;02-02-2023;61608602-2;HOSPITAL DE URGENCIA ASISTENCIA PUBLICA;4;4;$71.400;$0;Completado;O.Q.SEPARADOR AXILAR
17890;3403400081;02-02-2023;61608602-2;HOSPITAL DE URGENCIA ASISTENCIA PUBLICA;2;2;$261.800;$0;Completado;O.Q.BERMUDA
17890;3459900061;02-02-2023;61608602-2;HOSPITAL DE URGENCIA ASISTENCIA PUBLICA;6;6;$856.800;$0;Completado;O.Q.PANTALON PESCADOR
17890;3459992820;02-02-2023;61608602-2;HOSPITAL DE URGENCIA ASISTENCIA PUBLICA;6;6;$499.800;$0;Completado;O.Q.MENTONERA CON OREJAS
17890;3459993757;02-02-2023;61608602-2;HOSPITAL DE URGENCIA ASISTENCIA PUBLICA;12;12;$285.600;$0;Completado;O.Q.INSERTO MIXTO MEDIANO
17890;3459993358;02-02-2023;61608602-2;HOSPITAL DE URGENCIA ASISTENCIA PUBLICA;25;25;$446.250;$0;Completado;O.Q.INSERTO MIXTO CHICO
17891;2257658352;02-02-2023;76186732-6;BSN MEDICAL SPA;10000;768;$23.681.000;$21.862.299;Abierto;VENDA ENYESADA 20 CM
17892;2254955641;02-02-2023;76768780-K;NOVOSALUD SPA;6000;6000;$1.785.000;$0;Completado;COPELA ALUSA C 1 UN EMPAQUE PAPEL GRADO MEDICO EST
17893;2240000376;02-02-2023;93745000-1;JOHNSON Y JOHNSON DE CHILE S A;720;720;$1.799.280;$0;Completado;POLIGLACTINA 910 3 0 S AG 130 SUTUPACK
17894;3470000108;02-02-2023;79895670-1;PV EQUIP SA;600;600;$1.606.500;$0;Completado;FILTRO P CANISTER MAQ.ANEST.OHMEDA
17895;2240000228;02-02-2023;92288000-K;Drogueria Hofmann Ltda y Cia en CPA;1080;1080;$809.676;$0;Completado;SEDA NEGRA 3 0 1 2 24 28 75 ATRAUMATICA
17896;2249515954;02-02-2023;78566250-4;PRODUCTOS MEDICOS PROMEDON CHILE S A;45;45;$1.814.328;$0;Completado; SUTURA  POLIETILENO POLIESTER 4.0 FIBERWIRE
17897;2256264310;02-02-2023;96910280-3;BIOCLIN S.A.;5000;5000;$6.545.000;$0;Completado;VENDA CAMBRIC 10 CM X 1 UD UN EMPAQUE PAPEL GRADO
17898;2255582001;02-02-2023;76020266-5;CONVATEC CHILE S.A.;20;20;$4.040.574;$0;Completado;KIT RECOLECTOR DEPOSICIONES  FLEXI SEAL KIT 
17899;2250000700;02-02-2023;76592530-4;Flexing Chile SPA;5400;5400;$2.094.341;$0;Completado;PA AL CALZON DESECHABLE  ADULTO
17900;2142140041;02-02-2023;76031071-9;Salcobrand S.A.;80;80;$13.196;$0;Completado;HIDROXIZINA 20MG
17901;3400001999;02-02-2023;86383300-0;MEDIPLEX S.A.;150;150;$1.901.025;$0;Completado;RESUCITADOR M. AD. C VALV.PEEP C RESERV.
17902;2250000032;02-02-2023;81210400-4;Reutter SA;6000;6000;$1.877.820;$0;Completado;APOSITO GASA 20X25   20X30 ESTERIL
17903;3476966833;02-02-2023;96625550-1;Andover Alianza Medica S.A.;70;70;$519.792;$0;Completado;CIRCUITO BIPAP DESECHABLE
17904;2140127000;02-02-2023;76956140-4;Ethon Pharmaceuticals Ltda.;18000;18000;$149.940;$0;Completado;ACIDO ASCORBICO 100 MG
17905;2132130033;02-02-2023;61608604-9;Hospital Clinico San Borja Arriarian;60;60;$158.610;$0;Completado;TENOFOVIR LAMIVUDINA DOLUTEGRAVIR 300 300 50mg TLD
17905;2132130012;02-02-2023;61608604-9;Hospital Clinico San Borja Arriarian;60;60;$47.695;$0;Completado;LAMIVUDINA 150MG
17905;2139925016;02-02-2023;61608604-9;Hospital Clinico San Borja Arriarian;60;60;$14.041;$0;Completado;ABACAVIR 300 MG COMP.
17905;2139695077;02-02-2023;61608604-9;Hospital Clinico San Borja Arriarian;30;30;$9.737;$0;Completado;RITONAVIR 100 MG CAP.  NORVIR 
17905;2132130035;02-02-2023;61608604-9;Hospital Clinico San Borja Arriarian;60;60;$48.195;$0;Completado;DARUNAVIR 400MG
17906;2250000033;02-02-2023;81210400-4;Reutter SA;750;400;$2.659.650;$1.241.170;Completado;APOSITO GASA 20X3.0 MT ESTERIL ENV. MIXTO
17907;90000025;02-02-2023;78084460-4;PRODUCTOS QUIMICOS INDUSTRIALES CHILENOS LTDA;9000;9000;$4.176.900;$0;Completado;CLORO 0 5   CONCENTRACION
17908;2259954121;02-02-2023;77478120-K;FRESENIUS KABI CHILE LIMITADA;64;64;$0;$0;Completado;BOLSA FOTOPROTECTORA NUTRICION
17908;2182941970;02-02-2023;77478120-K;FRESENIUS KABI CHILE LIMITADA;64;64;$3.026.598;$0;Completado;NP CENTRAL SKC 1970 ML
17909;2170000021;02-02-2023;96604460-8;Ecolab S.A;240;240;$1.469.412;$0;Completado;CLORHEXIDINA SOL. 4  1L
17910;2141910000;02-02-2023;76956140-4;Ethon Pharmaceuticals Ltda.;300;300;$6.426;$0;Completado;METAMIZOL SOD. 300 MG
17911;2250000034;02-02-2023;81210400-4;Reutter SA;8000;8000;$1.285.200;$0;Completado;APOSITO GASA 10X20 ESTERIL
17912;2229963981;02-02-2023;93366000-1;COMERCIAL IBF LIMITADA;750;750;$294.525;$0;Completado;TUBO TANDEM COD 059
17913;3409035261;02-02-2023;96515660-7;CENTRAL DE COMPRAS DEL EXTRASISTEMA S.A.;8;8;$380.800;$0;Completado;GUIA NITINOL 0.035x150 RECTA  HW 035150 
17913;3409212540;02-02-2023;96515660-7;CENTRAL DE COMPRAS DEL EXTRASISTEMA S.A.;4;4;$190.400;$0;Completado;GUIA NITINOL 0.035 150 CURVA  HWA 035150 
17914;3409690677;02-02-2023;96515660-7;CENTRAL DE COMPRAS DEL EXTRASISTEMA S.A.;4;4;$904.400;$0;Completado;CANASTILLA DE APERTURA FRONTAL
17915;3403400024;02-02-2023;96515660-7;CENTRAL DE COMPRAS DEL EXTRASISTEMA S.A.;5;5;$136.850;$0;Completado;CATETER ANGIOGRAFICO SELECTIVE 2 5 FR X 80 CM
17916;2220000870;02-02-2023;93366000-1;COMERCIAL IBF LIMITADA;800;800;$752.080;$0;Completado;TUBO ASPIRACION 3 MTS ESTERIL
17917;2240000397;02-02-2023;93366000-1;COMERCIAL IBF LIMITADA;15000;15000;$1.588.650;$0;Completado;JERINGA DES. EST. 20 CC EMBUTIDA AG21GX1.5
17918;2142140041;02-02-2023;76031071-9;Salcobrand S.A.;20;20;$3.299;$0;Completado;HIDROXIZINA 20MG
17919;2255826522;02-02-2023;86821000-1;INMED DROGUERIA LIMITADA;3000;3000;$749.700;$0;Completado;BAJADA INFUSION STANDARD
17920;2449965124;02-02-2023;96659920-0;BIOMiERIEUX CHILE;200;200;$210.154;$0;Completado;PLACA AGAR SABOURAUD GENTAM. CAF
17920;2410009556;02-02-2023;96659920-0;BIOMiERIEUX CHILE;200;200;$170.884;$0;Completado;PLACA AGAR SANGRE COLUMBIA 35094
17921;2222220012;03-02-2023;81210400-4;Reutter SA;900;900;$1.381.590;$0;Completado;SONDA FOLEY 2 VIAS C B 14 FR SILICONADA 
17922;29666909;03-02-2023;96625950-7;TECNIKA S.A.;750;750;$11.870.250;$0;Completado;PACK ROPA UNIVERSAL ESTERIL  DESECHABLE 
17923;2220000250;03-02-2023;76768780-K;NOVOSALUD SPA;1000;1000;$2.023.000;$0;Completado;FILTRO BACTERIANO HMEF   1000
17924;2622620011;03-02-2023;96582310-7;GRIFOLS CHILE S A;30;30;$35.700;$0;Completado;DET. PRUEBAS DE ANTIGLOBULINA DIRECTA
17924;2622620009;03-02-2023;96582310-7;GRIFOLS CHILE S A;59;59;$56.379;$0;Completado;DET. PRUEBA DU Y O D PARCIAL
17924;2622620014;03-02-2023;96582310-7;GRIFOLS CHILE S A;64;64;$213.248;$0;Completado;Fenotipificaci n Sistema Rh en Columna  C.E.c.e. 
17924;2622620007;03-02-2023;96582310-7;GRIFOLS CHILE S A;2115;2115;$513.437;$0;Completado;DET. CLASIF. ABO RH D EN TUBO O LAMINA
17924;2622620012;03-02-2023;96582310-7;GRIFOLS CHILE S A;1011;1011;$421.082;$0;Completado;DET. PRUEBAS DE COMPATIBILIDAD
17924;2622620010;03-02-2023;96582310-7;GRIFOLS CHILE S A;1071;1071;$1.104.983;$0;Completado;DET. DETECCION DE ANTICUERPOS IRREGULARES
17924;2622620006;03-02-2023;96582310-7;GRIFOLS CHILE S A;1022;1022;$4.094.878;$0;Completado;DET. CLASIF. ABO RH D EN COLUMNA
17924;2622620013;03-02-2023;96582310-7;GRIFOLS CHILE S A;217;217;$206.584;$0;Completado;Reclasificacion ABO RhD Columna  prueba directa 
17925;2250000700;03-02-2023;76452485-3;COMERCIAL IBL SPA;4000;4000;$2.370.480;$0;Completado;PA AL CALZON DESECHABLE  ADULTO
17926;2410000870;03-02-2023;76131142-5;QUORUX CHILE SPA;16600;0;$1.837.122;$1.837.122;Completado;TUBO POLIPROP. 6.0 O 4.0 ML T L C EDTA 13 X100
17927;2411952959;03-02-2023;89752800-2;Distrib Art Med. Per;24000;8000;$514.080;$342.720;Abierto;TUBO KHAN POLIESTIRENO
17928;2249615219;03-02-2023;76583857-6;IC GLOBAL CHILE SpA;5000000;1400;$5.622.750.000;$5.621.175.630;Abierto;APOSITO ALGINATO DE PLATA CON CMC ESTERIL 10X10 CM
17929;3473470091;03-02-2023;59106780-K;GLOBAL HEALTHCARE CHILE L.P.;50;50;$272.510;$0;Completado;INCENTIVADOR VOLUMETRICO 
17930;2187506000;03-02-2023;61608605-7;Direcci n de Atenci n Primaria SSMC;240;240;$134.232;$0;Completado;GLUCOSA 5   500 ML
17930;2180000001;03-02-2023;61608605-7;Direcci n de Atenci n Primaria SSMC;620;620;$258.230;$0;Completado;AGUA DESTILADA 500 ML
17931;3470000239;03-02-2023;86383300-0;MEDIPLEX S.A.;400;400;$809.200;$0;Completado;CONECTOR MDI 15 22MM C VALVULA UNIDIRECCIONAL
17932;2169031001;03-02-2023;96945670-2;Novofarma Service S.A.;60;30;$1.745.730;$872.865;Abierto;DESMOPRESINA 15 MCG  1ML.  OCTOSTIM 
17933;2138301001;03-02-2023;61979450-8;HOSPITAL METROPOLITANO DE SANTIAGO;500;0;$1.308.405;$1.308.405;Abierto;MEROPENEM 1 GR.
17933;2182941970;03-02-2023;61979450-8;HOSPITAL METROPOLITANO DE SANTIAGO;16;16;$756.650;$0;Completado;NP CENTRAL SKC 1970 ML
17934;3403400016;06-02-2023;93745000-1;JOHNSON Y JOHNSON DE CHILE S A;4;4;$1.579.682;$0;Completado;PINZA LIGASURE MARYLAND 5MM. 23CM
17935;2254562452;06-02-2023;76758693-K;SOTECNO MEDICAL SPA;3000;3000;$1.524.390;$0;Completado;CALZON CLINICO MALLA ELASTICADA
17936;2222220035;06-02-2023;77693540-9;COMERCIALIZADORA MEDISAN LIMITADA;10;10;$1.035.300;$0;Completado;CANULA TRAQ. C B N 7 EXTRALARGA ALETA AJUSTABLE. P
17937;2414603695;06-02-2023;76768780-K;NOVOSALUD SPA;1200;1200;$1.570.800;$0;Completado;CUBRE MESA POLIETILENO 100X120 EST. DOBLE EMPAQUE
17938;3403400036;06-02-2023;77237150-0;COMERCIAL KENDALL  CHILE  LTDA;4;4;$1.580.111;$0;Completado;PINZA LIGASURE ATLAS 10X20 CM
17939;2249963984;06-02-2023;78566250-4;PRODUCTOS MEDICOS PROMEDON CHILE S A;55;55;$1.799.875;$0;Completado; SUTURA  SUTURA FIBERWIRE ARTHREX AX AR 7200
17940;50001079;06-02-2023;96940460-5;DISTRIBUIDORA SEGUEL LTDA;20;20;$142.038;$0;Completado;LIBRO INDICE X 200
17940;50001076;06-02-2023;96940460-5;DISTRIBUIDORA SEGUEL LTDA;180;180;$503.370;$0;Completado;LIBRO DE ACTAS DE 100
17940;50001077;06-02-2023;96940460-5;DISTRIBUIDORA SEGUEL LTDA;230;230;$1.095.895;$0;Completado;LIBRO DE ACTAS DE 200
17940;50001078;06-02-2023;96940460-5;DISTRIBUIDORA SEGUEL LTDA;20;20;$78.445;$0;Completado;LIBRO INDICE X 100 HJS.
17941;249921641;06-02-2023;76890481-2;IMPORTADORA RECAM LIMITADA;2;2;$352.240;$0;Completado;ESCRITORIO MELAMINA SIN CAJONES
17942;2254562452;06-02-2023;77032458-0;GRUPO GRAFENO CHILE SPA;4400;4400;$1.832.600;$0;Completado;CALZON CLINICO MALLA ELASTICADA
17943;2165601000;06-02-2023;76985933-0;DROGUERIA ACONCAGUA SPA;150;150;$28.560;$0;Completado;SODIO CLORURO 0.9  10 ML
17944;50001272;06-02-2023;96909950-0;ABATTE PRODUCTOS PARA OFICINA S A;300;240;$107.100;$21.420;Abierto;SACACORCHETE
17944;50001054;06-02-2023;96909950-0;ABATTE PRODUCTOS PARA OFICINA S A;700;700;$90.797;$0;Completado;DEDOS DE GOMA
17944;50000212;06-02-2023;96909950-0;ABATTE PRODUCTOS PARA OFICINA S A;370;370;$506.345;$0;Completado;CUADERNO UNIVERSITARIO
17944;50010083;06-02-2023;96909950-0;ABATTE PRODUCTOS PARA OFICINA S A;1619;1619;$1.082.755;$0;Completado;PLUMON PERMANENTE FINO
17944;50000195;06-02-2023;96909950-0;ABATTE PRODUCTOS PARA OFICINA S A;30;30;$69.615;$0;Completado;TACO CALENDARIO GRANDE
17945;72706269;06-02-2023;77478120-K;FRESENIUS KABI CHILE LIMITADA;300;300;$3.034.500;$0;Completado;FONTACTIV DIABEST VAINILLA 6X800G
17946;2259963962;06-02-2023;76821822-6;SOCIEDAD TH MEDICAL SPA;80;80;$1.751.680;$0;Completado;BOLSA DRENAJE 600 ML.
17947;3473470152;06-02-2023;92288000-K;Drogueria Hofmann Ltda y Cia en CPA;4;4;$1.666.000;$0;Completado;FIBROBRONCOSCOPIO FLEXIBLE  ASCOPE 4 REGULAR 
17948;3473470151;06-02-2023;92288000-K;Drogueria Hofmann Ltda y Cia en CPA;4;4;$1.666.000;$0;Completado;FIBROBRONCOSCOPIO FLEXIBLE  ASCOPE 4 SLIM 3.8 1.2 
17949;3459995649;06-02-2023;96863710-K;Biomet Chile S.A.;10;10;$2.713.200;$0;Completado;ZIPTIGHT AC JOINT
17950;2220000702;06-02-2023;77478120-K;FRESENIUS KABI CHILE LIMITADA;90;90;$1.178.100;$0;Completado;SONDA NASOGASTRICA ENFIT
17951;2410000870;06-02-2023;92288000-K;Drogueria Hofmann Ltda y Cia en CPA;14100;8800;$1.845.690;$693.770;Completado;TUBO POLIPROP. 6.0 O 4.0 ML T L C EDTA 13 X100
17952;3473470117;06-02-2023;76261586-K;BIOMUNDO SPA.;200;200;$458.150;$0;Completado;CONECTOR SIMPLE PARA JERINGA INYECTORA PARA JERING
17953;2520279000;06-02-2023;85462700-7;BUHOS SOCIEDAD COMERCIAL INDUSTRIAL LIMITADA;300;64;$6.390.300;$5.027.036;Abierto;LIDOCAINA 3  S VASOC.
17954;2252250002;06-02-2023;77478120-K;FRESENIUS KABI CHILE LIMITADA;4200;0;$16.493.400;$16.493.400;Abierto;BAJADA INFUSION MONOCANAL
17955;2160925000;06-02-2023;77807840-6;RECETARIO MAGISTRAL ENDOVENOSO S.A.;3000;600;$606.900;$485.520;Abierto;CLORPROMAZINA CLORH. 25 MG 2 ML
17956;2160920000;06-02-2023;77807840-6;RECETARIO MAGISTRAL ENDOVENOSO S.A.;10000;3000;$821.100;$574.770;Abierto;CLORFENAMINA MAL. 10 MG 1 ML
17957;2160000085;06-02-2023;76642770-7;LABVITALIS S.A.;1800;330;$963.900;$787.185;Abierto;FENITOINA SOD. 250 MG 5 ML
17958;3401122000;06-02-2023;86397000-8;DIPROMED S A;100;0;$362.950;$362.950;Abierto;TROCAR PTA. LAPIZ 25 GX103 MM
17959;2139695077;06-02-2023;61608604-9;Hospital Clinico San Borja Arriarian;30;30;$9.737;$0;Completado;RITONAVIR 100 MG CAP.  NORVIR 
17959;2134966030;06-02-2023;61608604-9;Hospital Clinico San Borja Arriarian;30;30;$153.570;$0;Completado;ABACAVIR LAMIVUDINE 600 300 MG   KIVEXA 
17959;2132130035;06-02-2023;61608604-9;Hospital Clinico San Borja Arriarian;60;60;$48.195;$0;Completado;DARUNAVIR 400MG
17960;2412410004;06-02-2023;76795536-7;INVERSIONES MIT SPA;100;100;$232.050;$0;Completado;TEST DE UREASA TEST DE UREASA PARA DETECCION H. PI
17961;2242240029;06-02-2023;99576080-0;SUR MEDICAL SPA;2;2;$204.680;$0;Completado;LAZO NYLON ENDOLOOP 30MM
17962;3401122000;06-02-2023;86397000-8;DIPROMED S A;500;500;$1.814.750;$0;Completado;TROCAR PTA. LAPIZ 25 GX103 MM
17963;3454261266;06-02-2023;77009405-4;BOSTON SCIENTIFIC CHILE SPA;2;2;$547.400;$0;Completado;CANASTILLO LITOTRIPTOR
